transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
17135,49,17,2017-12-30T00:00:00Z,FALSE,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,1997-10-04T00:00:00Z
9158,88,86,2017-12-30T00:00:00Z,TRUE,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1993-07-15T00:00:00Z
12453,12,151,2017-12-30T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2010-11-05T00:00:00Z
15270,3,195,2017-12-30T00:00:00Z,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15T00:00:00Z
16759,27,256,2017-12-30T00:00:00Z,FALSE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,2010-06-07T00:00:00Z
2950,30,447,2017-12-30T00:00:00Z,FALSE,Approved,Solex,Standard,high,medium,748.17,448.9,1994-07-12T00:00:00Z
19346,4,543,2017-12-30T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2011-04-16T00:00:00Z
2074,12,675,2017-12-30T00:00:00Z,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2010-05-05T00:00:00Z
17394,20,933,2017-12-30T00:00:00Z,FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1996-04-05T00:00:00Z
1033,49,934,2017-12-30T00:00:00Z,FALSE,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,1997-10-04T00:00:00Z
3938,95,993,2017-12-30T00:00:00Z,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1997-01-25T00:00:00Z
3254,75,1000,2017-12-30T00:00:00Z,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2006-05-22T00:00:00Z
4669,29,1052,2017-12-30T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2000-11-03T00:00:00Z
4009,78,1070,2017-12-30T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25T00:00:00Z
7311,1,1328,2017-12-30T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2012-09-15T00:00:00Z
7547,23,1407,2017-12-30T00:00:00Z,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1999-06-23T00:00:00Z
9820,31,1425,2017-12-30T00:00:00Z,TRUE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2002-03-22T00:00:00Z
11701,93,1453,2017-12-30T00:00:00Z,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02T00:00:00Z
2843,90,1506,2017-12-30T00:00:00Z,TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10T00:00:00Z
12667,89,1594,2017-12-30T00:00:00Z,TRUE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2016-07-09T00:00:00Z
19907,41,1721,2017-12-30T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07T00:00:00Z
19959,4,1787,2017-12-30T00:00:00Z,FALSE,Approved,Solex,Standard,medium,medium,1483.2,99.59,2005-10-22T00:00:00Z
497,62,1854,2017-12-30T00:00:00Z,TRUE,Approved,Solex,Standard,high,medium,1024.66,614.8,1993-10-02T00:00:00Z
8111,79,1970,2017-12-30T00:00:00Z,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2003-09-09T00:00:00Z
7267,57,1972,2017-12-30T00:00:00Z,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21T00:00:00Z
5042,90,1985,2017-12-30T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,1999-07-26T00:00:00Z
16258,14,2055,2017-12-30T00:00:00Z,TRUE,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24T00:00:00Z
13670,73,2165,2017-12-30T00:00:00Z,FALSE,Approved,Solex,Standard,medium,medium,1945.43,333.18,2002-08-31T00:00:00Z
16166,89,2345,2017-12-30T00:00:00Z,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2002-10-10T00:00:00Z
18609,27,2372,2017-12-30T00:00:00Z,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23T00:00:00Z
13575,98,2396,2017-12-30T00:00:00Z,FALSE,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1991-05-06T00:00:00Z
1697,56,2421,2017-12-30T00:00:00Z,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1991-01-21T00:00:00Z
15522,19,2434,2017-12-30T00:00:00Z,FALSE,Approved,OHM Cycles,Road,high,large,12.01,7.21,2009-03-08T00:00:00Z
10905,0,2659,2017-12-30T00:00:00Z,FALSE,Approved,Solex,Standard,medium,medium,100.35,75.26,2004-01-16T00:00:00Z
5651,25,2713,2017-12-30T00:00:00Z,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1993-05-26T00:00:00Z
748,80,2865,2017-12-30T00:00:00Z,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18T00:00:00Z
606,70,2878,2017-12-30T00:00:00Z,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,1999-07-26T00:00:00Z
12826,11,3016,2017-12-30T00:00:00Z,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2014-03-03T00:00:00Z
253,2,3123,2017-12-30T00:00:00Z,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-05T00:00:00Z
15757,30,3130,2017-12-30T00:00:00Z,FALSE,Approved,Solex,Standard,high,medium,748.17,448.9,1991-11-10T00:00:00Z
17182,26,3169,2017-12-30T00:00:00Z,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,2016-11-22T00:00:00Z
2285,95,3216,2017-12-30T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2016-03-29T00:00:00Z
4942,72,3293,2017-12-30T00:00:00Z,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18T00:00:00Z
411,62,3355,2017-12-30T00:00:00Z,FALSE,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23T00:00:00Z
7518,65,3433,2017-12-30T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-05-21T00:00:00Z
11522,22,76,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,575.27,431.45,1996-04-05T00:00:00Z
19385,0,106,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,71.49,53.62,2014-03-03T00:00:00Z
13894,15,224,2017-12-29T00:00:00Z,TRUE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07T00:00:00Z
19699,75,239,2017-12-29T00:00:00Z,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2006-05-22T00:00:00Z
18659,34,322,2017-12-29T00:00:00Z,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,1994-07-12T00:00:00Z
6987,17,593,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-11-09T00:00:00Z
19395,11,633,2017-12-29T00:00:00Z,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2011-05-07T00:00:00Z
16358,10,703,2017-12-29T00:00:00Z,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2014-03-03T00:00:00Z
983,21,729,2017-12-29T00:00:00Z,FALSE,Approved,Solex,Standard,medium,large,1071.23,380.74,1991-11-10T00:00:00Z
18428,34,739,2017-12-29T00:00:00Z,FALSE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,2003-03-18T00:00:00Z
17993,95,793,2017-12-29T00:00:00Z,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1997-08-25T00:00:00Z
10996,61,856,2017-12-29T00:00:00Z,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2012-05-18T00:00:00Z
6110,94,884,2017-12-29T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09T00:00:00Z
4066,81,886,2017-12-29T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-10T00:00:00Z
18326,25,964,2017-12-29T00:00:00Z,TRUE,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2012-04-10T00:00:00Z
18633,33,983,2017-12-29T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11T00:00:00Z
15159,64,1052,2017-12-29T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24T00:00:00Z
9508,18,1120,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,575.27,431.45,2013-03-12T00:00:00Z
6089,89,1390,2017-12-29T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2010-06-07T00:00:00Z
7139,9,1453,2017-12-29T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,1991-08-05T00:00:00Z
16362,0,1470,2017-12-29T00:00:00Z,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16T00:00:00Z
18200,5,1478,2017-12-29T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2005-08-09T00:00:00Z
14491,90,1530,2017-12-29T00:00:00Z,TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2000-11-03T00:00:00Z
13539,0,1538,2017-12-29T00:00:00Z,FALSE,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02T00:00:00Z
1041,30,1607,2017-12-29T00:00:00Z,FALSE,Approved,Solex,Standard,high,medium,748.17,448.9,2003-03-18T00:00:00Z
6344,49,1629,2017-12-29T00:00:00Z,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2012-06-04T00:00:00Z
18480,96,1794,2017-12-29T00:00:00Z,FALSE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10T00:00:00Z
13226,41,1906,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Road,medium,medium,416.98,312.74,1997-05-10T00:00:00Z
11992,13,1918,2017-12-29T00:00:00Z,FALSE,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09T00:00:00Z
11679,32,1991,2017-12-29T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2003-03-18T00:00:00Z
19340,12,2029,2017-12-29T00:00:00Z,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17T00:00:00Z
19433,45,2054,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,441.49,84.99,2001-11-25T00:00:00Z
19091,60,2082,2017-12-29T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24T00:00:00Z
15638,79,2130,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Touring,medium,large,2083.94,675.03,2015-08-02T00:00:00Z
16354,7,2152,2017-12-29T00:00:00Z,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,2003-08-05T00:00:00Z
17320,51,2236,2017-12-29T00:00:00Z,TRUE,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,1997-10-04T00:00:00Z
6479,29,2365,2017-12-29T00:00:00Z,TRUE,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,2002-03-22T00:00:00Z
1015,35,2369,2017-12-29T00:00:00Z,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,2008-03-19T00:00:00Z
5658,38,2555,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,1577.53,826.51,2011-03-16T00:00:00Z
15877,77,2561,2017-12-29T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2007-12-11T00:00:00Z
15080,66,2689,2017-12-29T00:00:00Z,TRUE,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-05T00:00:00Z
15471,0,2693,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-09-15T00:00:00Z
2257,31,2908,2017-12-29T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,1999-07-20T00:00:00Z
18632,54,2922,2017-12-29T00:00:00Z,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2015-10-18T00:00:00Z
11564,36,2929,2017-12-29T00:00:00Z,TRUE,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19T00:00:00Z
11034,18,3231,2017-12-29T00:00:00Z,FALSE,Approved,Solex,Standard,medium,medium,575.27,431.45,2011-05-07T00:00:00Z
8352,99,3262,2017-12-29T00:00:00Z,TRUE,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,1994-08-10T00:00:00Z
7742,43,3315,2017-12-29T00:00:00Z,FALSE,Approved,Solex,Standard,medium,medium,1151.96,649.49,1993-04-12T00:00:00Z
13208,57,3374,2017-12-29T00:00:00Z,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21T00:00:00Z
18866,71,3427,2017-12-29T00:00:00Z,FALSE,Approved,Solex,Standard,high,large,1842.92,1105.75,2016-12-06T00:00:00Z
10435,14,3468,2017-12-29T00:00:00Z,FALSE,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,2003-08-05T00:00:00Z
14789,80,56,2017-12-28T00:00:00Z,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1998-12-16T00:00:00Z
13651,27,99,2017-12-28T00:00:00Z,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23T00:00:00Z
18953,52,124,2017-12-28T00:00:00Z,TRUE,Approved,Solex,Road,medium,large,1777.8,820.78,1999-06-23T00:00:00Z
9125,15,235,2017-12-28T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07T00:00:00Z
12828,13,381,2017-12-28T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09T00:00:00Z
15958,54,533,2017-12-28T00:00:00Z,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12T00:00:00Z
16674,52,577,2017-12-28T00:00:00Z,TRUE,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,2011-08-24T00:00:00Z
17574,34,605,2017-12-28T00:00:00Z,FALSE,Approved,Norco Bicycles,Road,high,large,774.53,464.72,1995-12-19T00:00:00Z
6429,9,621,2017-12-28T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,1991-08-05T00:00:00Z
2934,57,673,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,2015-10-18T00:00:00Z
802,36,772,2017-12-28T00:00:00Z,FALSE,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19T00:00:00Z
11332,22,843,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1991-11-10T00:00:00Z
4996,12,946,2017-12-28T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25T00:00:00Z
3485,31,962,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1997-08-25T00:00:00Z
16333,63,1062,2017-12-28T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,1483.2,99.59,1998-12-17T00:00:00Z
5485,9,1115,2017-12-28T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,2002-03-22T00:00:00Z
6144,75,1158,2017-12-28T00:00:00Z,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-09T00:00:00Z
10990,8,1264,2017-12-28T00:00:00Z,FALSE,Approved,Solex,Road,medium,small,1703.52,1516.13,2011-04-16T00:00:00Z
2079,77,1297,2017-12-28T00:00:00Z,TRUE,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10T00:00:00Z
5939,59,1452,2017-12-28T00:00:00Z,TRUE,Approved,Solex,Standard,medium,large,1061.56,733.58,1993-07-20T00:00:00Z
19234,76,1480,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2016-03-29T00:00:00Z
1561,46,1545,2017-12-28T00:00:00Z,TRUE,Approved,Solex,Standard,low,medium,1289.85,74.51,2001-11-25T00:00:00Z
9375,52,1584,2017-12-28T00:00:00Z,TRUE,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,2001-11-25T00:00:00Z
1492,0,1623,2017-12-28T00:00:00Z,FALSE,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1991-01-21T00:00:00Z
3536,0,1691,2017-12-28T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,441.49,84.99,2006-10-01T00:00:00Z
7170,10,1706,2017-12-28T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,1945.43,333.18,2004-07-25T00:00:00Z
4642,82,1748,2017-12-28T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2005-05-10T00:00:00Z
10528,67,1758,2017-12-28T00:00:00Z,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22T00:00:00Z
12558,2,1764,2017-12-28T00:00:00Z,TRUE,Approved,Solex,Standard,medium,medium,71.49,53.62,2003-02-07T00:00:00Z
7670,31,1822,2017-12-28T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2006-11-10T00:00:00Z
10783,65,1867,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-05-21T00:00:00Z
4897,77,1893,2017-12-28T00:00:00Z,TRUE,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10T00:00:00Z
8786,75,1983,2017-12-28T00:00:00Z,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,1997-01-25T00:00:00Z
19494,96,1994,2017-12-28T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09T00:00:00Z
5952,87,2109,2017-12-28T00:00:00Z,TRUE,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,2000-05-22T00:00:00Z
7934,26,2112,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-26T00:00:00Z
11179,28,2120,2017-12-28T00:00:00Z,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,1991-08-05T00:00:00Z
12214,94,2168,2017-12-28T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2004-01-16T00:00:00Z
750,75,2195,2017-12-28T00:00:00Z,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,1991-07-10T00:00:00Z
4856,68,2418,2017-12-28T00:00:00Z,TRUE,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,1995-10-24T00:00:00Z
4787,64,2464,2017-12-28T00:00:00Z,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18T00:00:00Z
13733,19,2479,2017-12-28T00:00:00Z,TRUE,Approved,OHM Cycles,Road,high,large,12.01,7.21,2009-03-08T00:00:00Z
13508,94,2611,2017-12-28T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09T00:00:00Z
2643,42,2705,2017-12-28T00:00:00Z,TRUE,Approved,OHM Cycles,Road,medium,small,1810,1610.9,2008-03-19T00:00:00Z
8351,9,2709,2017-12-28T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,1991-08-05T00:00:00Z
1880,23,2780,2017-12-28T00:00:00Z,FALSE,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,2011-05-07T00:00:00Z
7169,44,2961,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09T00:00:00Z
2104,47,3031,2017-12-28T00:00:00Z,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01T00:00:00Z
7759,25,3054,2017-12-28T00:00:00Z,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04T00:00:00Z
6462,0,3239,2017-12-28T00:00:00Z,TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10T00:00:00Z
15550,0,3255,2017-12-28T00:00:00Z,FALSE,Approved,Solex,Standard,medium,large,202.62,151.96,2016-03-29T00:00:00Z
10558,21,3290,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,1996-11-09T00:00:00Z
260,31,3393,2017-12-28T00:00:00Z,FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2011-03-16T00:00:00Z
15079,12,3452,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1993-07-20T00:00:00Z
656,26,3470,2017-12-28T00:00:00Z,FALSE,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,2015-08-02T00:00:00Z
18293,0,64,2017-12-27T00:00:00Z,TRUE,Approved,Solex,Standard,medium,large,202.62,151.96,2016-03-29T00:00:00Z
8799,60,140,2017-12-27T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24T00:00:00Z
10274,24,189,2017-12-27T00:00:00Z,FALSE,Approved,Solex,Road,medium,large,1777.8,820.78,2011-05-07T00:00:00Z
18830,0,215,2017-12-27T00:00:00Z,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06T00:00:00Z
195,81,276,2017-12-27T00:00:00Z,FALSE,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-10T00:00:00Z
2844,11,478,2017-12-27T00:00:00Z,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2007-08-04T00:00:00Z
16813,64,611,2017-12-27T00:00:00Z,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18T00:00:00Z
