customer_id,RMF_Score,rmf_Level
322,444,Platinum Customer
1482,444,Platinum Customer
2637,444,Platinum Customer
2788,444,Platinum Customer
2912,444,Platinum Customer
3232,444,Platinum Customer
3326,444,Platinum Customer
39,443,Very Loyal
255,443,Very Loyal
353,443,Very Loyal
445,443,Very Loyal
590,443,Very Loyal
725,443,Very Loyal
799,443,Very Loyal
832,443,Very Loyal
936,443,Very Loyal
1076,443,Very Loyal
1103,443,Very Loyal
1129,443,Very Loyal
1140,443,Very Loyal
1473,443,Very Loyal
1517,443,Very Loyal
1591,443,Very Loyal
1597,443,Very Loyal
1672,443,Very Loyal
1783,443,Very Loyal
1797,443,Very Loyal
1821,443,Very Loyal
2036,443,Very Loyal
2060,443,Very Loyal
2183,443,Very Loyal
2184,443,Very Loyal
2240,443,Very Loyal
2309,443,Very Loyal
2379,443,Very Loyal
2464,443,Very Loyal
2476,443,Very Loyal
2537,443,Very Loyal
2548,443,Very Loyal
2616,443,Very Loyal
2659,443,Very Loyal
2686,443,Very Loyal
2750,443,Very Loyal
2826,443,Very Loyal
2874,443,Very Loyal
2914,443,Very Loyal
2999,443,Very Loyal
3048,443,Very Loyal
3251,443,Very Loyal
3420,443,Very Loyal
1,442,Very Loyal
25,442,Very Loyal
142,442,Very Loyal
177,442,Very Loyal
235,442,Very Loyal
377,442,Very Loyal
499,442,Very Loyal
577,442,Very Loyal
637,442,Very Loyal
669,442,Very Loyal
963,442,Very Loyal
1068,442,Very Loyal
1227,442,Very Loyal
1302,442,Very Loyal
1519,442,Very Loyal
1599,442,Very Loyal
1611,442,Very Loyal
1731,442,Very Loyal
1745,442,Very Loyal
1762,442,Very Loyal
1817,442,Very Loyal
1913,442,Very Loyal
1946,442,Very Loyal
2072,442,Very Loyal
2155,442,Very Loyal
2307,442,Very Loyal
2358,442,Very Loyal
2459,442,Very Loyal
2560,442,Very Loyal
2640,442,Very Loyal
2753,442,Very Loyal
2755,442,Very Loyal
3060,442,Very Loyal
3143,442,Very Loyal
3217,442,Very Loyal
3296,442,Very Loyal
1405,441,Very Loyal
2783,441,Very Loyal
3020,441,Very Loyal
729,434,Very Loyal
941,434,Very Loyal
1460,434,Very Loyal
1558,434,Very Loyal
1866,434,Very Loyal
2046,434,Very Loyal
2770,434,Very Loyal
29,433,Very Loyal
37,433,Very Loyal
80,433,Very Loyal
117,433,Very Loyal
165,433,Very Loyal
167,433,Very Loyal
173,433,Very Loyal
174,433,Very Loyal
198,433,Very Loyal
200,433,Very Loyal
204,433,Very Loyal
213,433,Very Loyal
239,433,Very Loyal
273,433,Very Loyal
280,433,Very Loyal
320,433,Very Loyal
344,433,Very Loyal
346,433,Very Loyal
380,433,Very Loyal
438,433,Very Loyal
482,433,Very Loyal
506,433,Very Loyal
515,433,Very Loyal
594,433,Very Loyal
607,433,Very Loyal
614,433,Very Loyal
621,433,Very Loyal
720,433,Very Loyal
728,433,Very Loyal
733,433,Very Loyal
753,433,Very Loyal
773,433,Very Loyal
787,433,Very Loyal
853,433,Very Loyal
902,433,Very Loyal
946,433,Very Loyal
973,433,Very Loyal
983,433,Very Loyal
999,433,Very Loyal
1033,433,Very Loyal
1084,433,Very Loyal
1113,433,Very Loyal
1233,433,Very Loyal
1250,433,Very Loyal
1290,433,Very Loyal
1317,433,Very Loyal
1329,433,Very Loyal
1331,433,Very Loyal
1346,433,Very Loyal
1389,433,Very Loyal
1396,433,Very Loyal
1493,433,Very Loyal
1502,433,Very Loyal
1506,433,Very Loyal
1530,433,Very Loyal
1547,433,Very Loyal
1561,433,Very Loyal
1579,433,Very Loyal
1619,433,Very Loyal
1625,433,Very Loyal
1683,433,Very Loyal
1696,433,Very Loyal
1722,433,Very Loyal
1811,433,Very Loyal
1885,433,Very Loyal
1890,433,Very Loyal
1991,433,Very Loyal
2095,433,Very Loyal
2103,433,Very Loyal
2132,433,Very Loyal
2165,433,Very Loyal
2190,433,Very Loyal
2194,433,Very Loyal
2336,433,Very Loyal
2369,433,Very Loyal
2383,433,Very Loyal
2428,433,Very Loyal
2434,433,Very Loyal
2454,433,Very Loyal
2463,433,Very Loyal
2468,433,Very Loyal
2489,433,Very Loyal
2492,433,Very Loyal
2508,433,Very Loyal
2538,433,Very Loyal
2565,433,Very Loyal
2574,433,Very Loyal
2592,433,Very Loyal
2653,433,Very Loyal
2662,433,Very Loyal
2684,433,Very Loyal
2695,433,Very Loyal
2702,433,Very Loyal
2723,433,Very Loyal
2733,433,Very Loyal
2747,433,Very Loyal
2762,433,Very Loyal
2816,433,Very Loyal
